Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
Strip District,81,611,101,310,66,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,27,24,7,11,140,52,73,42,28,35,35,26,301,61,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,21,18,0,10,14,16,40,31,123,47,39,24,64,47,0,10
Summer Hill,82,915,66,472,60,11,15,0,10,0,10,21,20,0,10,7,10,5,9,15,17,145,57,28,21,84,45,52,43,85,40,19,18,0,10,0,10,443,55,0,10,0,10,7,11,6,9,0,10,11,11,0,10,10,14,163,54,19,16,67,39,13,15,82,37,49,31,7,10,9,13
Swisshelm Park,83,971,93,493,85,7,8,0,10,0,10,0,10,4,7,5,8,31,28,9,10,125,51,3,6,64,24,36,24,96,38,89,51,21,15,3,6,478,54,19,17,0,10,0,10,0,10,12,17,17,15,0,10,18,16,115,41,8,9,20,15,43,23,94,28,108,45,6,8,18,17
Terrace Village,84,924.0,157.794169727,275.0,82.3528991597,4.0,16.2480768092,0.0,17.3205080757,0.0,17.3205080757,17.0,20.6155281281,6.0,17.3205080757,0.0,17.3205080757,11.0,15.6524758425,7.0,17.9164728672,142.0,62.4899991999,8.0,19.8997487421,36.0,32.0156211872,16.0,22.1133443875,11.0,16.2480768093,17.0,30.4795013083,0.0,17.3205080757,0.0,17.3205080757,649.0,125.952371951,7.0,16.7630546142,0.0,17.3205080757,0.0,17.3205080757,39.0,37.1079506306,0.0,17.3205080757,38.0,42.4264068712,33.0,28.9827534924,12.0,16.8819430162,229.0,72.8148336536,118.0,70.717748833,53.0,38.2099463491,61.0,35.2845575287,0.0,17.3205080757,38.0,36.1939221418,21.0,43.3704968844,0.0,17.3205080757
Troy Hill,85,1874.0,289.822359386,897.0,158.521291945,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,16.4012194669,4.0,12.2065556157,9.0,18.0277563773,350.0,115.277925033,35.0,33.6154726279,94.0,46.6904701197,58.0,31.6227766017,161.0,75.0266619276,79.0,45.4532727095,58.0,39.4081209905,40.0,50.6951674225,977.0,184.439692041,9.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,19.0,23.2594066992,0.0,14.1421356237,0.0,14.1421356237,22.0,24.2074368738,412.0,116.211014968,37.0,28.6356421266,214.0,93.0859817588,75.0,69.6419413859,106.0,54.4885309033,38.0,24.1867732449,45.0,32.7566787083,0.0,14.1421356237
Upper Hill,86,1351.0,232.13142829,571.0,162.711400953,5.0,17.9164728672,0.0,17.3205080757,0.0,17.3205080757,10.0,22.1133443875,5.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,260.0,114.638562448,45.0,42.2374241639,96.0,101.454423265,33.0,40.8656334834,72.0,47.9165942029,22.0,34.0734500748,8.0,18.547236991,15.0,21.354156504,780.0,129.185912545,17.0,27.8567765544,0.0,17.3205080757,0.0,17.3205080757,14.0,20.4939015319,16.0,29.5972971739,0.0,17.3205080757,26.0,30.2985148151,0.0,17.3205080757,207.0,79.0063288604,46.0,42.8135492572,116.0,59.8748695197,80.0,48.579831206,99.0,58.1807528312,143.0,97.7854794947,0.0,17.3205080757,16.0,25.3179778023
Upper Lawrenceville,87,2028.0,277.758888246,926.0,190.908354977,13.0,24.4948974278,0.0,17.3205080757,0.0,17.3205080757,7.0,17.9164728672,23.0,34.0734500748,9.0,19.8997487421,10.0,16.7630546142,20.0,24.3515913238,317.0,116.107708616,29.0,30.1330383466,222.0,111.687062814,41.0,30.166206258,191.0,70.0357051796,35.0,32.1247568084,9.0,19.2093727123,0.0,17.3205080757,1102.0,168.193341128,28.0,46.2168800332,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,35.0,30.0333148354,13.0,18.7082869339,25.0,34.0734500748,346.0,99.2270124512,12.0,22.8910462845,144.0,82.6438140456,80.0,60.1498129673,276.0,132.476412995,105.0,56.5154846038,21.0,27.3861278753,17.0,21.3541565041
West End,88,112,52,61,37,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,48,33,0,10,0,10,0,10,4,8,9,15,0,10,0,10,51,31,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,18,16,0,10,13,18,20,23,0,10,0,10,0,10,0,10
West Oakland,89,772.0,167.170571573,343.0,104.004807581,12.0,16.4012194669,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,46.0,61.8142378421,0.0,14.1421356237,5.0,12.8062484749,74.0,39.6232255123,47.0,46.1735855225,29.0,25.2982212813,0.0,14.1421356237,104.0,50.2493781056,16.0,22.360679775,10.0,16.4012194669,0.0,14.1421356237,429.0,104.804580053,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,14.8660687473,12.0,19.7230829233,0.0,14.1421356237,112.0,45.5411901469,10.0,14.8660687473,98.0,61.619802012,37.0,31.7804971641,57.0,50.5964425627,74.0,49.3963561409,5.0,13.4536240471,15.0,27.8567765544
Westwood,90,2601.0,226.812698057,1214.0,132.00757554,57.0,61.8142378421,0.0,14.1421356237,9.0,17.2046505341,19.0,23.2594066992,0.0,14.1421356237,39.0,38.275318418,26.0,28.7923600978,8.0,15.6204993518,404.0,94.8736001214,43.0,37.3630833845,228.0,94.0212741883,28.0,23.2594066992,260.0,95.4253635047,62.0,35.4682957019,8.0,15.6204993518,23.0,28.7923600978,1387.0,163.003067456,63.0,54.918120871,0.0,14.1421356237,8.0,18.0277563773,7.0,16.4012194669,10.0,18.8679622641,21.0,24.4131112315,54.0,44.283179651,12.0,20.591260282,530.0,136.682112948,22.0,20.6155281281,127.0,56.8594759033,150.0,61.7737808459,275.0,101.823376491,100.0,58.6003412959,8.0,15.6204993518,0.0,14.1421356237
Windgap,91,1026.0,179.301422192,447.0,105.361283212,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,8.0,16.4012194669,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,250.0,95.5876561068,21.0,22.360679775,77.0,53.2259335287,38.0,32.5729949498,43.0,29.4108823397,10.0,18.0277563773,0.0,14.1421356237,0.0,14.1421356237,579.0,106.531685427,12.0,19.7230829233,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341,4.0,12.2065556157,0.0,14.1421356237,27.0,43.1740662898,0.0,14.1421356237,289.0,78.7718223732,36.0,22.0227155455,100.0,70.7742891169,72.0,52.2015325446,11.0,18.8679622641,19.0,31.6227766017,0.0,14.1421356237,0.0,14.1421356237
